name,accuracy,precision,recall,f1
svc__bag_of_words__1-gram__standard__none__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__standard__none__none__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__finegrained__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__finegrained__lemmatize__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__finegrained__lemmatize__none__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__finegrained__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__finegrained__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__finegrained__none__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__finegrained__none__none__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__none__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__none__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__none__lemmatize__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__none__lemmatize__none__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__none__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__none__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__none__none__none__sentiment_features__none,0.72,0.36,0.499,0.419
svc__bag_of_words__1-gram__none__none__none__none__none,0.72,0.36,0.499,0.419
svc__bag_of_words__2-gram__standard__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__2-gram__standard__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__2-gram__standard__lemmatize__none__sentiment_features__none,0.726,0.738,0.511,0.444
svc__bag_of_words__2-gram__standard__lemmatize__none__none__none,0.726,0.738,0.511,0.444
svc__bag_of_words__2-gram__standard__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__2-gram__standard__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__2-gram__standard__none__none__sentiment_features__none,0.726,0.738,0.511,0.444
svc__bag_of_words__2-gram__standard__none__none__none__none,0.726,0.738,0.511,0.444
svc__bag_of_words__2-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__2-gram__finegrained__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__2-gram__finegrained__lemmatize__none__sentiment_features__none,0.735,0.725,0.535,0.496
svc__bag_of_words__2-gram__finegrained__lemmatize__none__none__none,0.735,0.725,0.535,0.496
svc__bag_of_words__2-gram__finegrained__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__2-gram__finegrained__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__2-gram__finegrained__none__none__sentiment_features__none,0.731,0.7,0.53,0.488
svc__bag_of_words__2-gram__finegrained__none__none__none__none,0.731,0.7,0.53,0.488
svc__bag_of_words__2-gram__none__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__2-gram__none__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__2-gram__none__lemmatize__none__sentiment_features__none,0.747,0.738,0.562,0.545
svc__bag_of_words__2-gram__none__lemmatize__none__none__none,0.747,0.738,0.562,0.545
svc__bag_of_words__2-gram__none__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__2-gram__none__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__2-gram__none__none__none__sentiment_features__none,0.744,0.711,0.566,0.554
svc__bag_of_words__2-gram__none__none__none__none__none,0.744,0.711,0.566,0.554
svc__bag_of_words__3-gram__standard__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__3-gram__standard__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__3-gram__standard__lemmatize__none__sentiment_features__none,0.748,0.834,0.55,0.519
svc__bag_of_words__3-gram__standard__lemmatize__none__none__none,0.748,0.834,0.55,0.519
svc__bag_of_words__3-gram__standard__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__3-gram__standard__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__3-gram__standard__none__none__sentiment_features__none,0.738,0.796,0.535,0.492
svc__bag_of_words__3-gram__standard__none__none__none__none,0.738,0.796,0.535,0.492
svc__bag_of_words__3-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__3-gram__finegrained__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__3-gram__finegrained__lemmatize__none__sentiment_features__none,0.77,0.819,0.596,0.596
svc__bag_of_words__3-gram__finegrained__lemmatize__none__none__none,0.77,0.819,0.596,0.596
svc__bag_of_words__3-gram__finegrained__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__3-gram__finegrained__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__3-gram__finegrained__none__none__sentiment_features__none,0.763,0.816,0.583,0.575
svc__bag_of_words__3-gram__finegrained__none__none__none__none,0.763,0.816,0.583,0.575
svc__bag_of_words__3-gram__none__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__3-gram__none__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__3-gram__none__lemmatize__none__sentiment_features__none,0.79,0.823,0.637,0.653
svc__bag_of_words__3-gram__none__lemmatize__none__none__none,0.79,0.823,0.637,0.653
svc__bag_of_words__3-gram__none__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__3-gram__none__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__3-gram__none__none__none__sentiment_features__none,0.78,0.792,0.627,0.64
svc__bag_of_words__3-gram__none__none__none__none__none,0.781,0.794,0.629,0.643
svc__tfi_df__1-gram__standard__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__standard__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__standard__lemmatize__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__standard__lemmatize__none__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__standard__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__standard__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__standard__none__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__standard__none__none__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__finegrained__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__finegrained__lemmatize__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__finegrained__lemmatize__none__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__finegrained__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__finegrained__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__finegrained__none__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__finegrained__none__none__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__none__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__none__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__none__lemmatize__none__sentiment_features__none,0.722,0.861,0.502,0.423
svc__tfi_df__1-gram__none__lemmatize__none__none__none,0.722,0.861,0.502,0.423
svc__tfi_df__1-gram__none__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__none__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__1-gram__none__none__none__sentiment_features__none,0.722,0.861,0.502,0.423
svc__tfi_df__1-gram__none__none__none__none__none,0.723,0.861,0.504,0.428
svc__tfi_df__2-gram__standard__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__standard__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__standard__lemmatize__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__standard__lemmatize__none__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__standard__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__standard__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__standard__none__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__standard__none__none__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__finegrained__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__finegrained__lemmatize__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__finegrained__lemmatize__none__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__finegrained__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__finegrained__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__finegrained__none__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__finegrained__none__none__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__none__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__none__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__none__lemmatize__none__sentiment_features__none,0.76,0.763,0.59,0.588
svc__tfi_df__2-gram__none__lemmatize__none__none__none,0.769,0.759,0.612,0.621
svc__tfi_df__2-gram__none__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__none__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__2-gram__none__none__none__sentiment_features__none,0.763,0.751,0.601,0.605
svc__tfi_df__2-gram__none__none__none__none__none,0.77,0.754,0.618,0.629
svc__tfi_df__3-gram__standard__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__3-gram__standard__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__3-gram__standard__lemmatize__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__3-gram__standard__lemmatize__none__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__3-gram__standard__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__3-gram__standard__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__3-gram__standard__none__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__3-gram__standard__none__none__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__3-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__3-gram__finegrained__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__3-gram__finegrained__lemmatize__none__sentiment_features__none,0.721,0.611,0.501,0.423
svc__tfi_df__3-gram__finegrained__lemmatize__none__none__none,0.721,0.611,0.501,0.423
svc__tfi_df__3-gram__finegrained__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__3-gram__finegrained__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__3-gram__finegrained__none__none__sentiment_features__none,0.721,0.611,0.501,0.423
svc__tfi_df__3-gram__finegrained__none__none__none__none,0.721,0.611,0.501,0.423
svc__tfi_df__3-gram__none__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__3-gram__none__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__3-gram__none__lemmatize__none__sentiment_features__none,0.803,0.834,0.663,0.687
svc__tfi_df__3-gram__none__lemmatize__none__none__none,0.805,0.832,0.667,0.691
svc__tfi_df__3-gram__none__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__tfi_df__3-gram__none__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__tfi_df__3-gram__none__none__none__sentiment_features__none,0.797,0.823,0.652,0.673
svc__tfi_df__3-gram__none__none__none__none__none,0.802,0.83,0.662,0.686
svc__both__1-gram__standard__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__1-gram__standard__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__both__1-gram__standard__lemmatize__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__1-gram__standard__lemmatize__none__none__none,0.721,0.36,0.5,0.419
svc__both__1-gram__standard__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__1-gram__standard__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__both__1-gram__standard__none__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__1-gram__standard__none__none__none__none,0.721,0.36,0.5,0.419
svc__both__1-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__1-gram__finegrained__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__both__1-gram__finegrained__lemmatize__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__1-gram__finegrained__lemmatize__none__none__none,0.721,0.36,0.5,0.419
svc__both__1-gram__finegrained__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__1-gram__finegrained__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__both__1-gram__finegrained__none__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__1-gram__finegrained__none__none__none__none,0.721,0.36,0.5,0.419
svc__both__1-gram__none__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__1-gram__none__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__both__1-gram__none__lemmatize__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__1-gram__none__lemmatize__none__none__none,0.721,0.36,0.5,0.419
svc__both__1-gram__none__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__1-gram__none__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__both__1-gram__none__none__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__1-gram__none__none__none__none__none,0.721,0.36,0.5,0.419
svc__both__2-gram__standard__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__2-gram__standard__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__both__2-gram__standard__lemmatize__none__sentiment_features__none,0.726,0.738,0.511,0.444
svc__both__2-gram__standard__lemmatize__none__none__none,0.726,0.738,0.511,0.444
svc__both__2-gram__standard__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__2-gram__standard__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__both__2-gram__standard__none__none__sentiment_features__none,0.726,0.738,0.511,0.444
svc__both__2-gram__standard__none__none__none__none,0.726,0.738,0.511,0.444
svc__both__2-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__2-gram__finegrained__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__both__2-gram__finegrained__lemmatize__none__sentiment_features__none,0.735,0.725,0.535,0.496
svc__both__2-gram__finegrained__lemmatize__none__none__none,0.735,0.725,0.535,0.496
svc__both__2-gram__finegrained__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__2-gram__finegrained__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__both__2-gram__finegrained__none__none__sentiment_features__none,0.733,0.706,0.532,0.492
svc__both__2-gram__finegrained__none__none__none__none,0.733,0.706,0.532,0.492
svc__both__2-gram__none__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__2-gram__none__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__both__2-gram__none__lemmatize__none__sentiment_features__none,0.748,0.742,0.565,0.549
svc__both__2-gram__none__lemmatize__none__none__none,0.748,0.742,0.565,0.549
svc__both__2-gram__none__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__2-gram__none__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__both__2-gram__none__none__none__sentiment_features__none,0.744,0.711,0.566,0.554
svc__both__2-gram__none__none__none__none__none,0.744,0.711,0.566,0.554
svc__both__3-gram__standard__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__3-gram__standard__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__both__3-gram__standard__lemmatize__none__sentiment_features__none,0.748,0.834,0.55,0.519
svc__both__3-gram__standard__lemmatize__none__none__none,0.748,0.834,0.55,0.519
svc__both__3-gram__standard__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__3-gram__standard__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__both__3-gram__standard__none__none__sentiment_features__none,0.738,0.796,0.535,0.492
svc__both__3-gram__standard__none__none__none__none,0.738,0.796,0.535,0.492
svc__both__3-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__3-gram__finegrained__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__both__3-gram__finegrained__lemmatize__none__sentiment_features__none,0.77,0.819,0.596,0.596
svc__both__3-gram__finegrained__lemmatize__none__none__none,0.77,0.819,0.596,0.596
svc__both__3-gram__finegrained__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__3-gram__finegrained__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__both__3-gram__finegrained__none__none__sentiment_features__none,0.763,0.808,0.584,0.577
svc__both__3-gram__finegrained__none__none__none__none,0.763,0.808,0.584,0.577
svc__both__3-gram__none__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__3-gram__none__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__both__3-gram__none__lemmatize__none__sentiment_features__none,0.791,0.829,0.638,0.654
svc__both__3-gram__none__lemmatize__none__none__none,0.791,0.829,0.638,0.654
svc__both__3-gram__none__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__both__3-gram__none__none__content_features__none__none,0.721,0.36,0.5,0.419
svc__both__3-gram__none__none__none__sentiment_features__none,0.783,0.799,0.63,0.644
svc__both__3-gram__none__none__none__none__none,0.781,0.794,0.629,0.643
linear_svc__bag_of_words__1-gram__standard__lemmatize__content_features__sentiment_features__none,0.709,0.572,0.523,0.493
linear_svc__bag_of_words__1-gram__standard__lemmatize__content_features__none__none,0.703,0.55,0.516,0.484
linear_svc__bag_of_words__1-gram__standard__lemmatize__none__sentiment_features__none,0.707,0.565,0.521,0.491
linear_svc__bag_of_words__1-gram__standard__lemmatize__none__none__none,0.703,0.553,0.517,0.487
linear_svc__bag_of_words__1-gram__standard__none__content_features__sentiment_features__none,0.703,0.555,0.519,0.489
linear_svc__bag_of_words__1-gram__standard__none__content_features__none__none,0.701,0.544,0.514,0.483
linear_svc__bag_of_words__1-gram__standard__none__none__sentiment_features__none,0.703,0.555,0.519,0.489
linear_svc__bag_of_words__1-gram__standard__none__none__none__none,0.701,0.549,0.517,0.488
linear_svc__bag_of_words__1-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.698,0.553,0.522,0.501
linear_svc__bag_of_words__1-gram__finegrained__lemmatize__content_features__none__none,0.695,0.548,0.521,0.499
linear_svc__bag_of_words__1-gram__finegrained__lemmatize__none__sentiment_features__none,0.693,0.532,0.513,0.486
linear_svc__bag_of_words__1-gram__finegrained__lemmatize__none__none__none,0.693,0.535,0.514,0.488
linear_svc__bag_of_words__1-gram__finegrained__none__content_features__sentiment_features__none,0.697,0.546,0.519,0.495
linear_svc__bag_of_words__1-gram__finegrained__none__content_features__none__none,0.697,0.548,0.52,0.498
linear_svc__bag_of_words__1-gram__finegrained__none__none__sentiment_features__none,0.697,0.544,0.518,0.493
linear_svc__bag_of_words__1-gram__finegrained__none__none__none__none,0.694,0.539,0.516,0.491
linear_svc__bag_of_words__1-gram__none__lemmatize__content_features__sentiment_features__none,0.702,0.56,0.523,0.499
linear_svc__bag_of_words__1-gram__none__lemmatize__content_features__none__none,0.706,0.567,0.524,0.498
linear_svc__bag_of_words__1-gram__none__lemmatize__none__sentiment_features__none,0.7,0.552,0.52,0.495
linear_svc__bag_of_words__1-gram__none__lemmatize__none__none__none,0.706,0.569,0.525,0.501
linear_svc__bag_of_words__1-gram__none__none__content_features__sentiment_features__none,0.701,0.559,0.523,0.501
linear_svc__bag_of_words__1-gram__none__none__content_features__none__none,0.7,0.554,0.521,0.497
linear_svc__bag_of_words__1-gram__none__none__none__sentiment_features__none,0.703,0.566,0.526,0.504
linear_svc__bag_of_words__1-gram__none__none__none__none__none,0.702,0.56,0.523,0.499
linear_svc__bag_of_words__2-gram__standard__lemmatize__content_features__sentiment_features__none,0.69,0.603,0.594,0.598
linear_svc__bag_of_words__2-gram__standard__lemmatize__content_features__none__none,0.695,0.613,0.605,0.608
linear_svc__bag_of_words__2-gram__standard__lemmatize__none__sentiment_features__none,0.69,0.603,0.594,0.598
linear_svc__bag_of_words__2-gram__standard__lemmatize__none__none__none,0.694,0.609,0.599,0.603
linear_svc__bag_of_words__2-gram__standard__none__content_features__sentiment_features__none,0.695,0.612,0.602,0.606
linear_svc__bag_of_words__2-gram__standard__none__content_features__none__none,0.695,0.613,0.605,0.608
linear_svc__bag_of_words__2-gram__standard__none__none__sentiment_features__none,0.688,0.602,0.594,0.597
linear_svc__bag_of_words__2-gram__standard__none__none__none__none,0.692,0.607,0.599,0.602
linear_svc__bag_of_words__2-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.691,0.605,0.597,0.6
linear_svc__bag_of_words__2-gram__finegrained__lemmatize__content_features__none__none,0.695,0.612,0.602,0.606
linear_svc__bag_of_words__2-gram__finegrained__lemmatize__none__sentiment_features__none,0.695,0.61,0.6,0.603
linear_svc__bag_of_words__2-gram__finegrained__lemmatize__none__none__none,0.698,0.615,0.605,0.609
linear_svc__bag_of_words__2-gram__finegrained__none__content_features__sentiment_features__none,0.697,0.61,0.598,0.602
linear_svc__bag_of_words__2-gram__finegrained__none__content_features__none__none,0.691,0.603,0.593,0.596
linear_svc__bag_of_words__2-gram__finegrained__none__none__sentiment_features__none,0.691,0.602,0.59,0.594
linear_svc__bag_of_words__2-gram__finegrained__none__none__none__none,0.688,0.599,0.589,0.592
linear_svc__bag_of_words__2-gram__none__lemmatize__content_features__sentiment_features__none,0.693,0.608,0.599,0.603
linear_svc__bag_of_words__2-gram__none__lemmatize__content_features__none__none,0.694,0.61,0.6,0.604
linear_svc__bag_of_words__2-gram__none__lemmatize__none__sentiment_features__none,0.69,0.602,0.592,0.595
linear_svc__bag_of_words__2-gram__none__lemmatize__none__none__none,0.693,0.606,0.596,0.599
linear_svc__bag_of_words__2-gram__none__none__content_features__sentiment_features__none,0.692,0.606,0.596,0.599
linear_svc__bag_of_words__2-gram__none__none__content_features__none__none,0.693,0.608,0.598,0.602
linear_svc__bag_of_words__2-gram__none__none__none__sentiment_features__none,0.685,0.598,0.591,0.594
linear_svc__bag_of_words__2-gram__none__none__none__none__none,0.686,0.599,0.591,0.594
linear_svc__bag_of_words__3-gram__standard__lemmatize__content_features__sentiment_features__none,0.72,0.659,0.669,0.663
linear_svc__bag_of_words__3-gram__standard__lemmatize__content_features__none__none,0.726,0.664,0.673,0.668
linear_svc__bag_of_words__3-gram__standard__lemmatize__none__sentiment_features__none,0.721,0.659,0.669,0.663
linear_svc__bag_of_words__3-gram__standard__lemmatize__none__none__none,0.721,0.659,0.667,0.662
linear_svc__bag_of_words__3-gram__standard__none__content_features__sentiment_features__none,0.708,0.642,0.648,0.645
linear_svc__bag_of_words__3-gram__standard__none__content_features__none__none,0.715,0.65,0.654,0.652
linear_svc__bag_of_words__3-gram__standard__none__none__sentiment_features__none,0.701,0.636,0.645,0.64
linear_svc__bag_of_words__3-gram__standard__none__none__none__none,0.703,0.639,0.646,0.642
linear_svc__bag_of_words__3-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.708,0.652,0.669,0.657
linear_svc__bag_of_words__3-gram__finegrained__lemmatize__content_features__none__none,0.709,0.652,0.668,0.658
linear_svc__bag_of_words__3-gram__finegrained__lemmatize__none__sentiment_features__none,0.705,0.648,0.664,0.653
linear_svc__bag_of_words__3-gram__finegrained__lemmatize__none__none__none,0.705,0.648,0.665,0.654
linear_svc__bag_of_words__3-gram__finegrained__none__content_features__sentiment_features__none,0.708,0.645,0.655,0.649
linear_svc__bag_of_words__3-gram__finegrained__none__content_features__none__none,0.7,0.636,0.645,0.64
linear_svc__bag_of_words__3-gram__finegrained__none__none__sentiment_features__none,0.694,0.632,0.642,0.636
linear_svc__bag_of_words__3-gram__finegrained__none__none__none__none,0.697,0.633,0.643,0.637
linear_svc__bag_of_words__3-gram__none__lemmatize__content_features__sentiment_features__none,0.719,0.659,0.672,0.664
linear_svc__bag_of_words__3-gram__none__lemmatize__content_features__none__none,0.723,0.665,0.678,0.67
linear_svc__bag_of_words__3-gram__none__lemmatize__none__sentiment_features__none,0.716,0.656,0.668,0.661
linear_svc__bag_of_words__3-gram__none__lemmatize__none__none__none,0.719,0.66,0.673,0.665
linear_svc__bag_of_words__3-gram__none__none__content_features__sentiment_features__none,0.727,0.664,0.669,0.666
linear_svc__bag_of_words__3-gram__none__none__content_features__none__none,0.727,0.663,0.666,0.664
linear_svc__bag_of_words__3-gram__none__none__none__sentiment_features__none,0.716,0.653,0.661,0.657
linear_svc__bag_of_words__3-gram__none__none__none__none__none,0.714,0.651,0.659,0.654
linear_svc__tfi_df__1-gram__standard__lemmatize__content_features__sentiment_features__none,0.721,0.621,0.547,0.532
linear_svc__tfi_df__1-gram__standard__lemmatize__content_features__none__none,0.719,0.611,0.539,0.519
linear_svc__tfi_df__1-gram__standard__lemmatize__none__sentiment_features__none,0.717,0.608,0.54,0.521
linear_svc__tfi_df__1-gram__standard__lemmatize__none__none__none,0.715,0.6,0.537,0.517
linear_svc__tfi_df__1-gram__standard__none__content_features__sentiment_features__none,0.712,0.583,0.527,0.499
linear_svc__tfi_df__1-gram__standard__none__content_features__none__none,0.707,0.563,0.52,0.489
linear_svc__tfi_df__1-gram__standard__none__none__sentiment_features__none,0.716,0.602,0.534,0.51
linear_svc__tfi_df__1-gram__standard__none__none__none__none,0.715,0.597,0.532,0.507
linear_svc__tfi_df__1-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.72,0.618,0.549,0.536
linear_svc__tfi_df__1-gram__finegrained__lemmatize__content_features__none__none,0.715,0.604,0.543,0.529
linear_svc__tfi_df__1-gram__finegrained__lemmatize__none__sentiment_features__none,0.714,0.602,0.544,0.53
linear_svc__tfi_df__1-gram__finegrained__lemmatize__none__none__none,0.71,0.589,0.536,0.519
linear_svc__tfi_df__1-gram__finegrained__none__content_features__sentiment_features__none,0.713,0.596,0.539,0.522
linear_svc__tfi_df__1-gram__finegrained__none__content_features__none__none,0.709,0.581,0.53,0.508
